title,description,thumbnail,author,publisher,publishing_year,num_pages,language,categories,link
進撃の巨人(28) - SHINGEKI NO KYOJIN 28,"進撃の巨人(28) - SHINGEKI NO KYOJIN 28


巨人がすべてを支配する世界。巨人の餌と化した人類は、巨大な壁を築き、壁外への自由と引き換えに侵略を防いでいた。だが、名ばかりの平和は壁を越える大巨人の出現により崩れ、絶望の闘いが始まってしまう。


王家の血を引くジークを迎え入れ「地鳴らし」の発動条件を手に入れたエレン達。だが兵団は、エレンがジークに操られていた場合の危機を考慮し、二人を引き合わせることに躊躇。そしてマーレからの義勇兵を拘束してしまう。その事態に一部の兵士や民衆が不満を溜める中、ついにエレンが単独行動を起こす。",https://cdn1.fahasa.com/media/catalog/product/i/m/image_227498.jpg,諫山 創,Kinokuniya Book Stores,2019,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/28-shingeki-no-kyojin-28.html
獣人ポーズ集 (超描けるシリーズ) SHISHIJIN POUZUSHUU 4 SUTEPPU DE MANABERU DESSAN,"獣人ポーズ集 (超描けるシリーズ)


大ヒット「獣人の描き方」第2弾! 掲載する獣人を50種以上に増量し、プロ獣人絵師によるポーズの描き方、種族や画風、様々なバリエーションの描き分けを徹底解説! 描き方の工程が 1アタリ 2肉付け 3描き込み 4仕上げ の4ステップだから詳細な描き方が紐解ける!

さらなるバリエーションを追加し、ぬいぐるみ感あふれるかわいいマスコットタイプのデフォルメ獣人、セクシーでモフモフな女性獣人の描き方もご紹介します。


本書の使い方

イラストレーター別での紹介だから、デザイン・画風のバリエーションが一目でわかる!

自分に合った作風を見つけ、お気に入り作家のポイント解説で描き方のコツを学べます。

描き方の工程は1アタリ2肉付け3描き込み4仕上げの4ステップで徹底解説。様々なポーズや角度の獣人の描き方を、1から10まで紐解けます。


デッサン&デザインガイドとして

ファンタジー作品に役立つアクションポーズからさりげない日常動作まで、ありとあらゆる「獣人」が描けるようになるポーズデッサン&デザインブック。

スリム系、筋肉質、ぽっちゃり、太マズル、メスケモ、マスコット、ぬいぐるみ風、コミカルタッチ、人面風。

スーツ、水着、学生服、ワンピース、ライトアーマー。

様々な画風を持つ人気獣人イラストレーターたちが思い思いに描き、解説するお祭り&テクニックガイド!

あらゆる獣人イラストのバリエーションをご紹介する、珠玉の獣人描き方解説本です!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224205.jpg,山羊 ヤマ,Kinokuniya Book Stores,2020,148,Tiếng Nhật,Reference,https://www.fahasa.com/shishijin-pouzushuu-4-suteppu-de-manaberu-dessan.html
進撃の巨人(27) - SHINGEKI NO KYOJIN TSUUJOUBAN 27,"進撃の巨人(27) - SHINGEKI NO KYOJIN TSUUJOUBAN 27


巨人がすべてを支配する世界。巨人の餌と化した人類は、巨大な壁を築き、壁外への自由と引き換えに侵略を防いでいた。だが、名ばかりの平和は壁を越える大巨人の出現により崩れ、絶望の闘いが始まってしまう。


マーレに潜入し、大打撃をもたらしたエレン。その目的はジークをエルディアへ連れ帰ることだった。王家の血を引くジークを迎え入れたことで、全世界に対抗する力「地鳴らし」の発動条件を手に入れたエレン達。だがそれは同時に、全面戦争へのカウントダウン開始の合図でもあった・・・・・・。",https://cdn1.fahasa.com/media/catalog/product/i/m/image_227497.jpg,諫山 創,Kinokuniya Book Stores,2018,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/27-shingeki-no-kyojin-tsuujouban-27.html
遊☆戯☆王OCGストラクチャーズ 1 - Yu-Gi-Oh! OCG Structures 1,"遊☆戯☆王OCGストラクチャーズ 1 - Yu Gi Oh OCG Sutorakuchi 1


対戦相手のいない田舎から遊☆戯☆王専門店のある街へ越してきた尚磨。初のショップでデッキを構築し、元小学生デュエル四天王、ストロング十九との初デュエルスタート! 遊☆戯☆王OCGコミック第1巻!!


<同梱OCGカード>


宣告者の神巫(光)

【天使族/チューナー/効果】

このカード名の1・2の効果はそれぞれ1ターンに1度しか使用できない。1:このカードが召喚・特殊召喚に成功した場合に発動できる。デッキ・EXデッキから天使族モンスター1体を墓地へ送る。このカードのレベルはターン終了時まで、そのモンスターのレベル分だけ上がる。2:このカードがリリースされた場合に発動できる。手札・デッキから「宣告者の神巫」以外のレベル2以下の天使族モンスター1体を特殊召喚する。

《ATK/500 DEF/300》",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224191.jpg,"佐藤 雅史, ウェッジホールディングス",Kinokuniya Book Stores,2020,208,Tiếng Nhật,Manga Books,https://www.fahasa.com/ocg-1-yu-gi-oh-ocg-sutorakuchi-1.html
ヲタクに恋は難しい 8 - Wotaku ni Koi wa Muzukashii - Wotakoi: Love Is Hard For Otaku,"ヲタクに恋は難しい (8) - Wotaku Ni Koi Wa Muzukashii 8


隠れ腐女子の成海とゲーヲタの宏嵩の恋愛模様を描いた超人気ヲタ恋も末広がりな第8巻!!

樺倉の結婚報告や、女子三人のリアルでの出会い(…からのお着替え)、?やっと宏嵩のお兄ちゃんな姿がみられたりとみんなにもそれぞれ変化があるようで…。

そして、光と尚哉が本当の自分の気持ちに気づく(?)ムズキュン感満載の二人でのお出かけ編を含む約40Pの描き下ろしもエモーショナルに収録です。

いよいよ光の女の子…な格好を見た尚哉の反応は…?

ヲタクな人も、そうじゃない人もきっと大切な人に会いたくなる!! くそっ…じれってーな俺ちょっと尊い雰囲気にして来ます!!…な内容でおとどけいたします!!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224204.jpg,ふじた,Kinokuniya Book Stores,2019,127,Tiếng Nhật,Manga Books,https://www.fahasa.com/8-wotaku-ni-koi-wa-muzukashii-8.html
ドラゴンボール超 14 - Dragon Ball Super 14,"ドラゴンボール超 14 - Doragon Bouru Chou 14


新たな力を手に入れた新生ベジータの、地球へ帰ってきてのリターンマッチ。スピリットの強制分離の技で、モロの力を分離していく。だがモロにも奥の手が…セブンスリーのバックアップだけでなくさらに…!?",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224194.jpg,"とよたろう, 鳥山 明",Kinokuniya Book Stores,2020,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/14-doragon-bouru-chou-14.html
かぐや様は告らせたい 19 - Kagu Ya Sama Wa Tsugera Setai - Tensaitachi No Koi 19,"かぐや様は告らせたい 19 - Kagu Ya Sama Wa Tsugera Setai - Tensaitachi No Koi 19


「恋愛は告白した方が負けなのである!」

エリートの集う秀知院学園生徒会で出会った会長・白銀御行と副会長・四宮かぐや…。この両想いであるはずの天才2人が、互いに相手に惚れさせ、相手から告白させようと日常の全てで権謀術数の限りを尽くす、新感覚のラブコメ!!

…だったはずの2人も付き合い始め、2年生の3学期、修学旅行で京都へ!! 旅先で羽を伸ばす楽しい一時のはずが…その出発の直前、かぐや専属従者・早坂愛が今回の修学旅行を以て退任する事を宣言し、その去就は、四宮家を巻き込む一大事に!? 京都の街を舞台に、かぐやと早坂の真の絆が試される逃走劇に発展する!! “修学旅行編”クライマックス!!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224196.jpg,赤坂 アカ,Kinokuniya Book Stores,2020,208,Tiếng Nhật,Manga Books,https://www.fahasa.com/19-kagu-ya-sama-wa-tsugera-setai-tensaitachi-no-koi-19.html
ブラッククローバー 22 - Burakku Kuroubaa 22,"ブラッククローバー 22 - Burakku Kuroubaa 22


初代魔法帝・ルミエルとエルフの長・リヒトも加わり、時空を超えた総力戦で悪魔に対抗するエルフと魔法騎士達。悪魔の底知れぬ力を前に、激化する戦いの中進化を止めないアスタとユノに勝負の命運は託され!? 数百年に渡る、悲しみと憎悪の連鎖に終止符を打て!!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224190.jpg,田畠 裕基,Kinokuniya Book Stores,2019,200,Tiếng Nhật,Manga Books,https://www.fahasa.com/22-burakku-kuroubaa-22.html
スーパードラゴンボールヒーローズ 10th ANNIVERSARY SUPER GUIDE,"スーパードラゴンボールヒーローズ 10th ANNIVERSARY SUPER GUIDE


10周年をお祝いした豪華ファンブック! 「ビッグバンミッション」5弾の情報も!!

『スーパードラゴンボールヒーローズ』10周年を記念して、究極のファンブックが2020年11月26日(木)に発売!! 10年間の全61弾を振り返ることができるぞ!


- 歴代開発スタッフの座談会を掲載!

- 「ビッグバンミッション」5弾のカードリストを大公開!!

- 新アバターの大特集やカサイユージ先生による10周年記念おもしろマンガも収録!

- 大人気のクイズ&プレゼント企画も実施!!


【同梱カード】

ドラゴン族デッキを強化できるぞ!!

「孫悟空」「孫悟空:ゼノ」「孫悟空:BR」

アビリティ「時を越えた絆の三連撃」持ち!! 3人だけでアタッカーにするとパワーが超絶アップするぞ!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224187.jpg,Vジャンプ編集部,Kinokuniya Book Stores,2020,128,Tiếng Nhật,"Art, Anime Character",https://www.fahasa.com/10th-anniversary-super-guide.html
鬼滅の刃 22 (ジャンプコミックス) KIMETSU NO YAIBA TSUUJOUBAN 22,"鬼滅の刃 22 (ジャンプコミックス)


夜明けまで一時間以上を残し、無惨の猛攻は一層激しさを増す。残る柱全員で食らいつく鬼殺隊だが、その刃を届かせることはできるのか!? そして、無惨の一撃に倒れた炭治郎は…。各々が死力を尽くし、戦いは極限へ…!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088824246.jpg,吾峠 呼世晴,Kinokuniya Book Stores,2020,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/22-332725.html
