title,description,thumbnail,author,publisher,publishing_year,num_pages,language,categories,link
ハイキュー!! 2: 集英社リミックス - Haikyu!! 2 (Shueisha Jump Remix Comic),ハイキュー!! 2: 集英社リミックス - Haikyu!! 2 (Shueisha Jump Remix Comic),https://cdn1.fahasa.com/media/catalog/product/9/7/9784081151196.jpg,古舘 春一,Kinokuniya Book Stores,2022,,Tiếng Nhật,Manga Books,https://www.fahasa.com/2-haikyu-2-shueisha-jump-remix-comic.html
Boruto 18 - ボルト- Naruto Next Generations,"Boruto 18 - ボルト- Naruto Next Generations


コードとの激闘の末、奇跡の生還を果たしたボルト。木ノ葉の里では今後の対応に追われる…。そんな中、当のコードがシカマルとアマドの前に出現! シカマルはある対策を実行するが…!? 里に再び緊張が走る!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832470.jpg,"池本 幹雄, 岸本 斉史",Kinokuniya Book Stores,2022,176,Tiếng Nhật,Manga Books,https://www.fahasa.com/boruto-18-naruto-next-generations.html
桃源暗鬼 11 - Togen Anki 11,"桃源暗鬼 11 - Togen Anki 11


無陀野から課された雪山修業で全員でゴールを目指す四季たち。その結末は!?


その頃、「桃太郎殲滅すべし」という過激な思想を持つ野良の鬼集団”鬼國隊”の存在が明らかになる。


鬼國隊大将・等々力颯は、なんと四季と同じ「鬼神の子」で…!?


新世代ダークヒーロー鬼譚、波乱の新章突入!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784253280112.jpg,漆原侑来,Kinokuniya Book Stores,2022,187,Tiếng Nhật,Manga Books,https://www.fahasa.com/11-togen-anki-11.html
TVアニメ『SPY × FAMILY』公式ガイドブック Mission Report: 220409-0625,"TVアニメ『SPY × FAMILY』公式ガイドブック Mission Report: 220409-0625


敏腕諜報員<黄昏>ことロイド、人の心を読む超能力者のアーニャ、凄腕の殺し屋<いばら姫>ことヨル──それぞれが秘密を抱えた偽装家族フォージャー家。世界平和への難関任務に挑む中、家族が遭遇する事件とは!? TVアニメ第1話~第12話を徹底解説する公式ガイドブック!!


●大量の設定画・場面写真で主要キャラクター&各話を解説!
 ●グッズ用描き下ろしも充実!大ボリュームのカラーイラストギャラリー
 ●フォージャー家、イーデン校、街並みに水族館…美術設定で世界観に浸る!
 ●江口拓也・種崎敦美・早見沙織がこれまでを振り返る「フォージャー家鼎談」!
 ●吉野裕行・小野賢章・藤原夏海・加藤英美里 撮り下ろしインタビュー集!
 ●古橋一博監督メッセージほか、総作画監督・音響監督が制作現場を語る!
 ●主題歌担当Official髭男dism、星野源によるメッセージコメント!
 ●あのラジオの後日談!? 遠藤達哉・種崎敦美 撮り下ろし特別対談!


【Wとじ込み付録】
 ●アニメ/原作イラスト 両面ピンナップ
 ●原作 遠藤達哉先生描き下ろしポストカード",https://cdn1.fahasa.com/media/catalog/product/9/7/9784087925999.jpg,遠藤 達哉,Kinokuniya Book Stores,2022,164,Tiếng Nhật,Manga Books,https://www.fahasa.com/tv-spy-family-mission-report-220409-0625.html
ハイキュー!! 1: 集英社リミックス - Haikyu!! 1 (Shueisha Jump Remix Comic),ハイキュー!! 1: 集英社リミックス - Haikyu!! 1 (Shueisha Jump Remix Comic),https://cdn1.fahasa.com/media/catalog/product/9/7/9784081151189.jpg,古舘 春一,Kinokuniya Book Stores,2022,,Tiếng Nhật,Manga Books,https://www.fahasa.com/1-haikyu-1-shueisha-jump-remix-comic.html
れっつ! ハイキュー!? 10 - Let's Haikyu!? 10,"れっつ! ハイキュー!? 10 - Let's Haikyu!? 10


春高準々決勝・烏野対鴎台! 白熱する試合の最中、日向が発熱し、暴走が始まり!? そして春高から数年後、日向はビーチ忍法を習得するため単身でブラジルに渡るが…!? 大人気バレー漫画公式スピンオフ第10巻!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832418.jpg,レツ,Kinokuniya Book Stores,2022,128,Tiếng Nhật,Manga Books,https://www.fahasa.com/10-let-s-haikyu-10.html
怪物事変 17 - Kemono Jihen 17,"怪物事変 17 - Kemono Jihen 17


京狐捜索任務のリーダーを決めるべく怪物とゲンジで手合わせを行う一行。激しい戦いも3戦が終了しましたところで、1対2と負け越す夏羽たちでございましたが、次に夏羽が相手する坂田という若者。なにやら檻に入れられた花楓について物申したそうな様子…。さらに気になりますのは、大将戦を前にして隠神に姉上を殺されたと恨む頼電は、はたして今、どのような心情なのでしょう…。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832067.jpg,藍本 松,Kinokuniya Book Stores,2022,216,Tiếng Nhật,Manga Books,https://www.fahasa.com/17-kemono-jihen-17.html
PPPPPP 4,"PPPPPP 4


経験値を上げて、それらを武器に音上ミーミンに勝とうとするラッキー。コンクール本選会場に赴くが、そこにはソラチカの姿が…!? 一方で、山中メロリは自分の世界を守るために…!? ピアノを巡る奇跡の物語、第4巻!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832258.jpg,マポロ3号,Kinokuniya Book Stores,2022,200,Tiếng Nhật,Manga Books,https://www.fahasa.com/pppppp-4.html
Edens Zero 22,"Edens Zero 22


全世界待望! 6言語(英・仏・ポルトガル・中国・韓国・タイ)同時配信中!!

真島ヒロ最新作!!!


ラビリアと星系六祈将ホーリィをエデンズ ゼロに乗せ、始まった惑星レンダード攻略戦。

だが、突入した先には銀河六魔将ゴッド・アクネラ率いるドラゴンの群れが待ち構えていた! その苛烈な防衛圏を辛くも突破し、地上に降下したエルシーは、ジギーと直接剣を交えるも、卑劣な凶刃に倒れてしまう。他方、同じく地上に降りたシキたち4人の行く手には、魔王四黒星が立ちはだかる……。

星咬作戦、その首尾は如何に!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065286586.jpg,真島 ヒロ,Kinokuniya Book Stores,2022,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/edens-zero-22.html
東京卍リベンジャーズ フルカラー短編集 1 So Young - Tokyo Revengers Full Color Short Stories 1 So Young,"東京卍リベンジャーズ フルカラー短編集 1 So Young - Tokyo Revengers Full Color Short Stories 1 So Young


永遠に色褪せない! これぞ“青春天然色”!! 『東京卍リベンジャーズ』初のフルカラー短編集がついに登場! マイキーとドラケン、場地と千冬……東卍メンバー達のせつなくも儚い日々を描いた珠玉の短編を超美麗カラーで彩色した愛蔵版!「Zero」、「In those days」、「One for all」、「Man-crush」、「Twin to dragon」、「You're not my type」の6本を収録!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065288481.jpg,和久井 健,Kinokuniya Book Stores,2022,128,Tiếng Nhật,Manga Books,https://www.fahasa.com/tokyo-revengers-furu-kara-tanpen-1.html
ハイキュー部!! 8 - Haikyu-bu!! 8,"ハイキュー部!! 8 - Haikyu Club!! 8


『ハイキュー!!』のキャラクターが大騒ぎ! 青葉城西はリコールによる主将選挙が勃発!? ビッグフットに間違われた百沢を捜す白鳥沢は雪山で遭難し…。大人気『ハイキュー!!』のスピンオフ部活動コメディ混沌の第8巻。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832302.jpg,宮島 京平,Kinokuniya Book Stores,2022,200,Tiếng Nhật,Manga Books,https://www.fahasa.com/8-haikyu-club-8.html
東京卍リベンジャーズ 29 - Tokyo Revengers 29,"東京卍リベンジャーズ 29 - Tokyo Revengers 29


新宿スワン』の和久井健、一世一代の最新作!! 今度は不良が、タイムリープ!? 最愛の人を救うため、ダメフリーター・花垣タケミチが中学時代に戻り、関東最凶不良集団の頂点を目指す!!


最新タイムリープ・サスペンス第29巻!! タケミチ最後の戦いとなる”二代目 東京卍會”vs.”関東卍會”、開戦!! 抗争の流れが次第に関東卍會に傾く中、新たな未来視(ビジョン)に戦慄するタケミチ!! 眼前にうかぶ最悪の結末とは……!!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065286579.jpg,和久井 健,Kinokuniya Book Stores,2022,200,Tiếng Nhật,Manga Books,https://www.fahasa.com/tokyo-revengers-29.html
名探偵コナン 犯人の犯沢さん 5 - Detective Conan Hannin No Hanzawa San 5,"名探偵コナン 犯人の犯沢さん 5 - Detective Conan Hannin No Hanzawa San 5


お陰様で大爆笑犯人ギャグも第5巻!


憎悪が憎悪を呼び悲しみが連鎖する街、米花町――

犯沢さんがこんな所にいる理由はたったひとつ、

""あの男""を殺すため。

だが、いとこのサキちゃんにもただならぬ目的が…?


戦闘力が振り切れた米花町オールスターズとの対決や、

カリスマ美容師によるイメチェンで大ピンチ!? などなど

危険すぎる米花町での日常が盛りだくさんです!


【編集担当からのおすすめ情報】

斬新すぎる笑撃カバーイラストをご覧ください!

青山剛昌先生の帯コメントにも要注目です!


さらにこの巻で、犯沢さんシリーズ最大の謎にも終止符が…!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784091294500.jpg,"かんば まゆこ, 青山 剛昌",Kinokuniya Book Stores,2019,168,Tiếng Nhật,Manga Books,https://www.fahasa.com/mei-tantei-konan-hannin-nohan-sawa-san-5.html
名探偵コナン 犯人の犯沢さん 3 - Detective Conan Hannin No Hanzawa San 3,"名探偵コナン 犯人の犯沢さん 3 - Detective Conan Hannin No Hanzawa San 3


見た目はタイツ、頭脳はピュアな主人公!


「すべては”あの男”を殺すため―――――」

犯罪都市:米花町にやってきた、

見た目はタイツ、頭脳はピュアな主人公、

その名は―――犯人の犯沢さん(仮名)!

ついに標的を発見した犯沢さんだが…?


『名探偵コナン』でおなじみ、

全身が影になっている、あの”犯人”が主人公の、

日常・クリミナル・ギャグ!


最新の第3巻は、週刊少年サンデー2018年27号に掲載された、

安室透が登場するFILE.特別編「黒の日常」も収録!


【編集担当からのおすすめ情報】

犯沢さんの新たなパートナー、

”ポメ太郎”の可愛さは、まさに犯罪的です!


そして、第3巻では、

犯沢さんの特技も明らかに…?

必見エピソード満載の最新刊です!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784091285645.jpg,"かんば まゆこ, 青山 剛昌",Kinokuniya Book Stores,2018,168,Tiếng Nhật,Manga Books,https://www.fahasa.com/mei-tantei-konan-hannin-nohan-sawasan-3.html
できる日本語 わたしの文法ノート 初中級 - Dekiru Nihongo Beginner 2 - Grammar Book,"できる日本語 わたしの文法ノート 初中級 - Dekiru Nihongo Beginner 2 - Grammar Book


『できる日本語 初中級 本冊』の学習項目のうち、文型を中心にした副教材。自分で学習項目を整理し、復習することができます。適切さや正確さを意識しながら、日本語の運用力を身につけます。各課に、その課で学んだ内容を総合的に使って、自分でタスクをこなす問題があり、課の行動目標を達成できるかどうか、書いて確認することができます。イラストが豊富で、文法を楽しく学ぶことのできるのも特徴です。授業の補助教材にする以外にも、宿題帳として使うなど、いろいろな使い方が可能です。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784893588371.jpg,"できる日本語教材開発プロジェクト, 嶋田和子",Kinokuniya Book Stores,2012,152,Tiếng Nhật,Learning Japanese Books,https://www.fahasa.com/dekiru-nihongo-beginner-2-grammar-book.html
ダンダダン 6 - Dandadan 6,"ダンダダン 6 - Dandadan 6


鬼頭一族に大蛇様の供物として、ジジの家の地下へ落とされたオカルン達。その地下で昔、大蛇様への人柱にされた子供が邪視としてジジの身体を乗っ取り、モモやオカルンに襲い掛かる! モモを地上へ送り、邪視と一体化したジジと対峙するオカルン。一方、地上で大蛇様を退治するため、妙案を思いついたモモ。果たして、暴れる大蛇様を倒し、邪視からジジを救い出せるか!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832081.jpg,龍 幸伸,Kinokuniya Book Stores,2022,194,Tiếng Nhật,Manga Books,https://www.fahasa.com/6-dandadan-6.html
One Piece Episode A 1,"One Piece Episode A 1


麦わらの一味・ルフィの兄“火拳のエース”。伝説に名を刻む男の、知られざる過去とは…? スペード海賊団結成前夜から始まる、烈火の如く生きた男の真実の記録を、稀代の絵師Boichiが灼熱の筆致で描く大冒険記!! 原作の第51話を再現したカヴァーコミック『ロロノア・ゾロ 海に散る』も同時収録!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832234.jpg,"Boichi, 石山 諒, ひなた しょう, 浜崎 達也 , 尾田 栄一郎",Kinokuniya Book Stores,2022,188,Tiếng Nhật,Manga Books,https://www.fahasa.com/one-piece-episode-a-1.html
One Piece Episode A 2,"One Piece Episode A 2


白ひげ海賊団の捕囚となったエースは“海賊王”を超えるため、白ひげに勝負を挑み続ける!! 幾度となく拳を交える中で、その熱き魂に触れたエースは…!? 「鬼の血」を呪い、抗い続けた“火拳のエース”若き日の真実の記録!! 原作の名バトルを再現したカヴァーコミック『ナミvsカリファ』も同時収録!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832241.jpg,"Boichi, 石山 諒, ひなた しょう, 浜崎 達也 , 尾田 栄一郎",Kinokuniya Book Stores,2022,196,Tiếng Nhật,Manga Books,https://www.fahasa.com/one-piece-episode-a-2.html
うるわしの宵の月 4 - In The Clear Moonlit Dusk 4,"うるわしの宵の月 4 - In The Clear Moonlit Dusk 4


滝口宵は、容姿端麗・スマートなふるまいで「王子」と呼ばれる女子。学校で同じく「王子」と呼ばれる市村先輩に出会い、

ひょんなことからお試しでのお付き合いが始まる。初めは身構えていた宵も段々と気持ちが変化し、とまどう日々。一方で市村先輩も、宵の存在が大きなものになってきたからか、宵のバイト先の新たな王子・大路くんに嫉妬してしまう…。お試しの期限が迫る中、ついケンカしてしまった2人。一緒に行く約束をしていた夏祭りの当日、宵は…!?


ともに「王子」と呼ばれる男女の恋心、急展開―!!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065278710.jpg,やまもり 三香,Kinokuniya Book Stores,2022,176,Tiếng Nhật,Manga Books,https://www.fahasa.com/4-in-the-clear-moonlit-dusk-4.html
ドラゴンボール超 19 - Dragon Ball Super 19,"ドラゴンボール超 19 - Dragon Ball Super 19


グラノラの猛攻によって追い詰められたかに見えたガスだが、本能を解放し覚醒する。そのあまりに強大な力の前に、圧倒される悟空達。ガスを倒すカギは亡き悟空の父・バーダックの記憶にあるようだが……!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832159.jpg,"とよたろう, 鳥山 明",Kinokuniya Book Stores,2022,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/19-dragon-ball-super-19.html
呪術廻戦 20 - Jujutsu Kaisen 20,"呪術廻戦 20 - Jujutsu Kaisen 20


互いの術式で圧死寸前となった伏黒とレジィ。拮抗を打破すべくレジィが動き、死闘は終結へと向かう──!! 一方、仙台結界では実力者の四つ巴を乙骨が崩し、過去の術師と特級呪霊を交えた苛烈極まる戦いに!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832012.jpg,芥見 下々,Kinokuniya Book Stores,2022,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/20-jujutsu-kaisen-20.html
SAKAMOTO DAYS 8,"SAKAMOTO DAYS 8


JCC編入試験の三次試験は、複数のチームに分かれての“しっぽ取り”合戦!! 新たに試験に加わった3人の“推薦組”が不穏な動きを見せる中、坂本と敵同士になったシンは、成長した姿を見せようと意気込むが…?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088831916.jpg,鈴木 祐斗,Kinokuniya Book Stores,2022,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/sakamoto-days-8.html
"イジらないで、長瀞さん 14 - Ijiranaide Nagatoro-San 14 - Don't Toy With Me, Miss Nagatoro 14","イジらないで、長瀞さん 14 - Ijiranaide Nagatoro-San 14 - Don't Toy With Me, Miss Nagatoro 14


最恐の“Sデレ少女”、現る!!!


心がザワつく、ちょっと歪なラブコメディ♪


2・3年合同の“一緒に修学旅行”編、スタート! みんなで昼は古都・京都を満喫! そして夜はお泊まり&恋バナで大騒ぎ! 更に、自由行動では二人きりで、京都一の縁結びスポット・地主神社へ! お目当ては、恋が成就すると言われている「恋占いの石」だったが、 石をめぐって全員巻き込む大波乱にーー!! 長瀞さんとセンパイの大願成就はどうなる!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065287729.jpg,ナナシ,Kinokuniya Book Stores,2022,176,Tiếng Nhật,Manga Books,https://www.fahasa.com/14-ijiranaide-nagatoro-san-14-don-t-toy-with-me-miss-nagatoro-14.html
うるわしの宵の月 1 - In The Clear Moonlit Dusk 1,"うるわしの宵の月 １ - In The Clear Moonlit Dusk 1


『ひるなかの流星』『椿町ロンリープラネット』（ともに集英社刊）の、やまもり三香、待望の最新作！　


滝口宵は、容姿端麗・スマートなふるまいで「王子」と呼ばれる女子。少女漫画のヒーローみたい、と憧れられていることに複雑な思いを抱いていた。そんなとき突然出会ったのは、同じく「王子」と呼ばれる一つ上の男子、市村先輩。彼のちょっと失礼な物言いに全然王子っぽくないと思っていた宵だけど…!?　ともに「王子」と呼ばれる男女の物語が回り始めるーー！",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065217771.jpg,やまもり三香,Kinokuniya Book Stores,2020,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/in-the-clear-moonlit-dusk-1.html
One Piece 103,"One Piece 103


大看板2人をサンジとゾロが倒した頃、ルフィとカイドウの戦いが激化!! 一方マムと対峙するキッド&ローは極限バトルを展開中。君臨する四皇2人を倒せるのか!? “ひとつなぎの大秘宝”を巡る海洋冒険ロマン!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088831909.jpg,尾田 栄一郎,Kinokuniya Book Stores,2022,232,Tiếng Nhật,Manga Books,https://www.fahasa.com/one-piece-103.html
うるわしの宵の月 3 - In The Clear Moonlit Dusk 3,"うるわしの宵の月 3 - In The Clear Moonlit Dusk 3


滝口宵は、容姿端麗・スマートなふるまいで「王子」と呼ばれる女子。学校で同じく「王子」と呼ばれる市村先輩に出会い、ひょんなことからお試しでのお付き合いが始まる。初めは先輩の本心を探るように身構えていた宵も、段々と自分自身の気持ちの変化に気づき、とまどう日々。一方で市村先輩も、宵の存在が自分の中で前よりずっと大きなものになっていることを自覚…?そんな中、宵のバイト先で新たな「王子」との出会いが…!?


ともに「王子」と呼ばれる男女の恋心に新展開―!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065256800.jpg,やまもり三香,Kinokuniya Book Stores,2020,176,Tiếng Nhật,Manga Books,https://www.fahasa.com/3-in-the-clear-moonlit-dusk-3.html
うるわしの宵の月 2 - In The Clear Moonlit Dusk 2,"うるわしの宵の月 2 - In The Clear Moonlit Dusk 2


滝口宵は、容姿端麗・スマートなふるまいで「王子」と呼ばれる女子。少女漫画のヒーローみたい、と憧れられていることに複雑な思いを抱いていた。そんなとき、同じく「王子」と呼ばれる市村先輩に出会う。最初は印象悪かったけど、助けてもらったのをきっかけに何かと関わるうちに心境が変化し、宵は先輩とおためしで付き合うことに?


ともに「王子」と呼ばれる男女の不器用なラブストーリー!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065232798.jpg,やまもり三香,Kinokuniya Book Stores,2020,176,Tiếng Nhật,Manga Books,https://www.fahasa.com/2-in-the-clear-moonlit-dusk-2.html
可愛いだけじゃない式守さん 12 - Miss Shikimori Is Not Just Cute 12,"可愛いだけじゃない式守さん 12 - Miss Shikimori Is Not Just Cute 12


不幸体質な和泉くんの彼女は、同じ高校の同級生・式守さん。とっても可愛くて、優しくて、和泉くんといるときは、いつも嬉しそう。高校生の一大イベント、バレンタインデー。式守さんに打ち明けられる、狼谷さんの想いとは!? スケート、雪の日、お菓子作り。二人のラブラブ度合いが上がる一方で、楽しかった1年間に終わりが近づき……。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065272718.jpg,真木 蛍五,Kinokuniya Book Stores,2022,144,Tiếng Nhật,Manga Books,https://www.fahasa.com/12-miss-shikimori-is-not-just-cute-12.html
憂国のモリアーティ 18 - Yuukoku no Moriarty - Moriarty The Patriot,"憂国のモリアーティ 18 - Yuukoku no Moriarty - Moriarty The Patriot


失ったものは二度と、取り戻せない――。米国政府からシャーロックに届いた“依頼”――それは法から外れた“ならず者”たちと結託し、残忍な手口で弱者の土地を奪う、地上げ屋を排除せよというものだった。その任務への同行を強く希望するビリー。その陰には故郷と親友にまつわる、ビリーの悲しい過去があった…。一方、犯した罪の重さから“何が最善の罪滅ぼしか”を探すウィリアムは、ニューヨークの街で一人の少女と出会い…!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832036.jpg,"三好 輝, 竹内 良輔, コナン・ドイル",Kinokuniya Book Stores,2022,204,Tiếng Nhật,Manga Books,https://www.fahasa.com/18-yuukoku-no-moriarty-moriarty-the-patriot.html
"古見さんは、コミュ症です。26 - Komi-san wa, Komyusho desu - Komi Can’t Communicate","古見さんは、コミュ症です。26 - Komi-san wa, Komyusho desu - Komi Can’t Communicate


貴方といたいコミュ症美少女コメディー!


本格的に三年生の生活が始まりました。

只野くんのお母さんに震えながら挨拶したり、

騎士の女の子・岸さんとしっかり話したり、

皆で辛いラーメンを食べに行ったり…

心も体も刺激的な人付き合いで溢れてます。

そして――進路。大学見学に行った先で

只野くんと古見さん、帰りに漫画喫茶で二人きり…?


心も体も熱くなる

コミュ症美少女コメディー、第26巻。


【編集担当からのおすすめ情報】

アニメ2期、たくさんの方に観て頂き有り難うございました。

原作は3年生編に突入!!


手を繋いだばかりの古見さんと只野くんですが、

只野家に挨拶に行くというイベントが発生…!

緊張収まらない毎日ですが ちょっとずつ距離が縮まっていきます。


そして古見さんからの提案で二人で大学見学に。

進路についてちょっとだけ思いを馳せながら、

雨宿りしつつ半個室で二人きりの時間が訪れます。


静かな空間で聞こえる古見さんの小声の一言。

今巻もぜひ。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784098511853.jpg,オダ トモヒト,Kinokuniya Book Stores,2022,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/26-komi-san-wa-komyusho-desu-komi-can-t-communicate.html
ジョジョの奇妙な冒険 クレイジー・Dの悪霊的失恋 1 - JoJo's Bizarre Adventure Crazy Diamond's Demonic Heartbreak,"ジョジョの奇妙な冒険 クレイジー・Dの悪霊的失恋 1 - JoJo's Bizarre Adventure Crazy Diamond's Demonic Heartbreak


消えた鸚鵡の捜索を任されたホル・ホースは、ボインゴを引き連れS市杜王町へ。街中で「歩道が広いではないか…」というかつてのDIOの言葉が耳に入り振り返ると、暴走した車がホル・ホースに迫る! 何かの力により難を逃れたが、そこにはリーゼント&学ラン姿の男が…!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088831572.jpg,"カラスマ タスク, 荒木 飛呂彦, 上遠野 浩平",Kinokuniya Book Stores,2022,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/d-1-jojo-s-bizarre-adventure-crazy-diamond-s-demonic-heartbreak.html
君と僕。コンプリートイラスト集 18 - Kimi to Boku Complete Illustration Book 18,"君と僕。コンプリートイラスト集 18 - Kimi to Boku Complete Illustration Book 18


君と僕と、青春のすべて。

2011年に刊行された「堀田きいちOFFICIAL FAN BOOK 君と僕。AFTER SCHOOL」に収録されたイラスト40点超&スペシャルコミックを完全再録。さらにそれ以降、連載終了までに描かれた未公開イラストを含む水彩イラスト60点超&描き下ろしおまけマンガを収録したキミボクLOVER必携の「君と僕。」コンプリートブック! 18歳の彼らとともに堀田きいちが歩んだ連載18年のすべてがここに。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784757579972.jpg,堀田きいち,Kinokuniya Book Stores,2022,,Tiếng Nhật,"Art, Anime Character",https://www.fahasa.com/18-kimi-to-boku-complete-illustration-book-18.html
One Piece All Faces 2 - 25th Anniversaries (Japanese Edition),"One Piece All Faces 2


ONE PIECEの全顔を、AIの機械学習で、網羅的に蒐集。

第一部 空の島・第二部 水の都編 巻二十四~巻四十五 27469FACES

尾田栄一郎の25年をAIで解析する

「動くものはモブも波も雲もすべて自分の手で描く」というポリシーで描きあげたキャラクター総数は10万体以上。機械学習によって、すべての原稿からキャラクターの顔のみを抜き出した結果、他に類を見ない描き込みからONE PIECEの世界に暮らす人々の喜怒哀楽が見えてきた──。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784087925975.jpg,尾田 栄一郎,Kinokuniya Book Stores,2022,428,Tiếng Nhật,"Art, Anime Character",https://www.fahasa.com/one-piece-all-faces-2.html
地球の歩き方 JOJO ジョジョの奇妙な冒険 - JoJo's Bizarre Adventure Globe-Trotter Travel Guide Book,"地球の歩き方 JOJO ジョジョの奇妙な冒険 - JoJo's Bizarre Adventure Globe-Trotter Travel Guide Book


大人気漫画『 ジョジョの奇妙な冒険 』と『 地球の歩き方 』がスペシャルコラボ! 物語の舞台を網羅した最高に奇妙な冒険ガイドブック誕生ッ!


『ジョジョの奇妙な冒険』の35周年を記念して、 杜王町 から世界各地に至るまで、第1部~第8部の舞台を地球の歩き方が徹底紹介! 荒木飛呂彦先生の「 旅 」にまつわるロングインタビューも掲載。


本書のおもな内容

-  仙台 の歩き方

- エリアガイド:イギリス、イタリア、香港、シンガポール、パキスタン、アラブ首長国連邦、サウジアラビア、エジプト、アメリカ、メキシコ

- 荒木飛呂彦 先生スペシャル インタビュー

- 岸辺露伴 と歩くルーヴル美術館

-  ジョジョ 』に学ぶッ! 旅の準備と技術

- 折込地図 ほか


予告なく一部内容が変更される可能性もあります。予めご了承ください。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784058018033.jpg,地球の歩き方編集室,Kinokuniya Book Stores,2022,208,Tiếng Nhật,Culture & Travel,https://www.fahasa.com/jojo-jojo-s-bizarre-adventure-globe-trotter-travel-guide-book.html
黒執事 32 - Kuro Shitsuji - Black Butler,"黒執事 32 - Kuro Shitsuji - Black Butler


天使を斃(たお)す 白衣の戦士

ファントムハイヴ家の使用人・バルド。彼は軍人ではなく、ごく平凡な農民だった――。自由の国・アメリカでの幸せを奪った悲劇、不死身の傭兵の誕生、セバスチャンからのスカウトとスパルタ教育、そして料理人への転身……、バルド過去編を完全収録。No.1執事コミック、待望の32巻登場!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784757580466.jpg,枢やな,Kinokuniya Book Stores,2022,176,Tiếng Nhật,Manga Books,https://www.fahasa.com/32-kuro-shitsuji-black-butler.html
ブルーロック 20 - Blue Lock 20,"ブルーロック 20 - Blue Lock 20


2018年、W杯。日本代表は無残に散った。今大会もベスト16止まり…。アジアでは強豪? 組織力は世界レベル? そんなことは、もう聞き飽きた! 課題は、絶対的な「エースストライカー」の不在。悲願“W杯優勝”のために、ゴールに飢え、勝利に渇き、試合を一変させる革新的な“1人”を作るべく、日本フットボール連合は300人のユース年代の選手達を招集する。まだ無名の高校2年生・潔世一は、己のエゴを以って299人を蹴落とし、最強のエースストライカーの道を駆け上れるか!? 登場人物、全員“俺様”! 史上最もイカれたエゴイストFWサッカー漫画、ここに開幕!!


潔&國神の連携弾で初戦を制したドイツ『バスタード・ミュンヘン』。熱気冷めやらぬ中、絵心の口からさらなる『新英雄大戦』の衝撃事実が明かされる! 世界中に自らの価値が晒されるルールの中、 各人が生存戦略を練り直し、カイザーと潔の対立も激化! “ゴール奪取”に燃える潔の前に次戦の相手、イングランド『マンシャイン・C』凪・玲王・千切が立ちはだかる!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065285015.jpg,"金城 宗幸, ノ村 優介",Kinokuniya Book Stores,2022,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/20-blue-lock-20.html
